Report Number,Date Reported,Date of Occurance,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date and Time of Case Closed,Case Status,Crime Occurred,Age Group
38,04 January 2020,02 January 2020,18:04:00,Varanasi,280,Shoplifting,22,F,Explosives,Other Crime,14,No,,Open,Evening,Adult
39,03 January 2020,02 January 2020,21:24:00,Surat,487,Vehicle - Stolen,32,F,None,Violent Crime,13,Yes,11-03-2020 23:00,Closed,Evening,Adult
40,03 January 2020,02 January 2020,14:05:00,Mumbai,154,Fraud,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00,Closed,Afternoon,Senior Citizen
41,05 January 2020,02 January 2020,01:51:00,Visakhapatnam,148,Homicide,28,F,Firearm,Other Crime,2,No,,Open,Night,Adult
42,03 January 2020,02 January 2020,11:09:00,Surat,583,Illegal Possession,42,M,Blunt Object,Other Crime,6,No,,Open,Morning,Adult
43,03 January 2020,02 January 2020,09:30:00,Delhi,172,Firearm Offense,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00,Closed,Morning,Adult
44,04 January 2020,02 January 2020,08:34:00,Mumbai,300,Sexual Assault,44,M,Other,Violent Crime,7,No,,Open,Morning,Adult
45,05 January 2020,02 January 2020,06:22:00,Kolkata,387,Arson,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020 19:00,Closed,Morning,Adult
46,04 January 2020,02 January 2020,09:02:00,Patna,297,Drug Offense,67,M,Knife,Other Crime,8,No,,Open,Morning,Senior Citizen
47,05 January 2020,02 January 2020,09:55:00,Delhi,555,Robbery,47,F,None,Violent Crime,9,No,,Open,Morning,Adult
48,05 January 2020,02 January 2020,03:42:00,Lucknow,128,Firearm Offense,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00,Closed,Night,Adult
49,05 January 2020,03 January 2020,02:59:00,Jaipur,139,Illegal Possession,77,F,Firearm,Other Crime,17,No,,Open,Night,Senior Citizen
50,03 January 2020,03 January 2020,06:06:00,Hyderabad,561,Drug Offense,37,F,Blunt Object,Other Crime,7,No,,Open,Morning,Adult
51,03 January 2020,03 January 2020,17:10:00,Nagpur,573,Burglary,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00,Closed,Evening,Senior Citizen
52,05 January 2020,03 January 2020,19:13:00,Kolkata,260,Burglary,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00,Closed,Evening,Adult
53,05 January 2020,03 January 2020,22:01:00,Ghaziabad,211,Public Intoxication,29,M,Poison,Other Crime,15,Yes,20-01-2020 00:00,Closed,Evening,Adult
54,05 January 2020,03 January 2020,18:47:00,Delhi,312,Burglary,75,M,Explosives,Other Crime,2,No,,Open,Evening,Senior Citizen
55,06 January 2020,03 January 2020,07:47:00,Pune,548,Firearm Offense,61,F,Poison,Fire Accident,5,No,,Open,Morning,Senior Citizen
56,04 January 2020,03 January 2020,11:11:00,Meerut,596,Burglary,49,F,None,Other Crime,19,No,,Open,Morning,Adult
57,06 January 2020,03 January 2020,20:16:00,Kanpur,188,Sexual Assault,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00,Closed,Evening,Senior Citizen
58,03 January 2020,03 January 2020,09:43:00,Ahmedabad,110,Assault,70,F,None,Violent Crime,15,No,,Open,Morning,Senior Citizen
59,04 January 2020,03 January 2020,02:40:00,Chennai,449,Traffic Violation,75,F,Blunt Object,Traffic Fatality,16,No,,Open,Night,Senior Citizen
60,05 January 2020,03 January 2020,05:33:00,Thane,352,Shoplifting,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00,Closed,Night,Senior Citizen
61,03 January 2020,03 January 2020,15:04:00,Mumbai,196,Shoplifting,16,M,Poison,Other Crime,10,No,,Open,Afternoon,Teenager
62,05 January 2020,03 January 2020,03:32:00,Surat,359,Drug Offense,30,M,Explosives,Other Crime,9,Yes,09-02-2020 21:00,Closed,Night,Adult
63,03 January 2020,03 January 2020,09:27:00,Chennai,495,Fraud,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00,Closed,Morning,Senior Citizen
64,06 January 2020,03 January 2020,23:24:00,Thane,259,Illegal Possession,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00,Closed,Evening,Teenager
65,05 January 2020,03 January 2020,00:59:00,Visakhapatnam,289,Drug Offense,58,F,Explosives,Other Crime,19,No,,Open,Night,Senior Citizen
66,06 January 2020,03 January 2020,11:49:00,Lucknow,409,Extortion,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00,Closed,Morning,Adult
67,03 January 2020,03 January 2020,17:48:00,Bhopal,306,Cybercrime,25,M,None,Other Crime,6,No,,Open,Evening,Adult
68,04 January 2020,03 January 2020,08:46:00,Visakhapatnam,420,Burglary,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00,Closed,Morning,Adult
69,06 January 2020,03 January 2020,02:24:00,Hyderabad,469,Public Intoxication,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00,Closed,Night,Senior Citizen
70,06 January 2020,03 January 2020,17:23:00,Visakhapatnam,292,Firearm Offense,31,F,Firearm,Fire Accident,1,No,,Open,Evening,Adult
71,06 January 2020,03 January 2020,00:50:00,Kolkata,512,Firearm Offense,58,F,Poison,Fire Accident,6,No,,Open,Night,Senior Citizen
72,05 January 2020,03 January 2020,11:34:00,Nagpur,244,Arson,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00,Closed,Morning,Senior Citizen
73,05 January 2020,04 January 2020,07:58:00,Lucknow,269,Burglary,35,F,Blunt Object,Other Crime,2,No,,Open,Morning,Adult
74,06 January 2020,04 January 2020,03:01:00,Chennai,524,Arson,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00,Closed,Night,Adult
75,05 January 2020,04 January 2020,01:45:00,Ahmedabad,404,Cybercrime,70,F,Knife,Other Crime,18,No,,Open,Night,Senior Citizen
76,06 January 2020,04 January 2020,20:57:00,Delhi,191,Vandalism,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00,Closed,Evening,Senior Citizen
77,04 January 2020,04 January 2020,14:30:00,Mumbai,369,Kidnapping,25,F,Explosives,Other Crime,14,No,,Open,Afternoon,Adult
78,05 January 2020,04 January 2020,17:02:00,Indore,517,Identity Theft,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00,Closed,Evening,Senior Citizen
79,05 January 2020,04 January 2020,03:40:00,Mumbai,229,Robbery,39,F,Poison,Violent Crime,4,No,,Open,Night,Adult
80,07 January 2020,04 January 2020,23:54:00,Visakhapatnam,154,Vehicle - Stolen,54,F,None,Violent Crime,15,Yes,15-01-2020 03:00,Closed,Evening,Senior Citizen
81,05 January 2020,04 January 2020,23:33:00,Delhi,197,Assault,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00,Closed,Evening,Senior Citizen
82,06 January 2020,04 January 2020,15:37:00,Jaipur,421,Fraud,16,F,Explosives,Other Crime,17,No,,Open,Afternoon,Teenager
83,06 January 2020,04 January 2020,09:17:00,Mumbai,305,Robbery,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00,Closed,Morning,Adult
84,04 January 2020,04 January 2020,06:13:00,Kolkata,150,Traffic Violation,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00,Closed,Morning,Senior Citizen
85,05 January 2020,04 January 2020,12:40:00,Lucknow,542,Public Intoxication,48,M,Firearm,Other Crime,3,No,,Open,Afternoon,Adult
86,06 January 2020,04 January 2020,06:42:00,Mumbai,438,Vandalism,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00,Closed,Morning,Adult
87,07 January 2020,04 January 2020,16:00:00,Lucknow,498,Public Intoxication,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00,Closed,Evening,Adult
88,07 January 2020,04 January 2020,22:04:00,Rajkot,345,Robbery,11,F,Firearm,Violent Crime,1,No,,Open,Evening,Child
89,06 January 2020,04 January 2020,21:21:00,Mumbai,108,Homicide,16,F,Knife,Other Crime,6,No,,Open,Evening,Teenager
90,06 January 2020,04 January 2020,06:38:00,Hyderabad,219,Vehicle - Stolen,73,F,Blunt Object,Violent Crime,12,No,,Open,Morning,Senior Citizen
91,05 January 2020,04 January 2020,17:15:00,Kolkata,219,Burglary,72,F,Poison,Other Crime,9,No,,Open,Evening,Senior Citizen
92,04 January 2020,04 January 2020,09:21:00,Jaipur,510,Cybercrime,60,F,None,Other Crime,7,No,,Open,Morning,Senior Citizen
93,05 January 2020,04 January 2020,07:36:00,Hyderabad,597,Fraud,53,M,None,Other Crime,13,Yes,01-04-2020 16:00,Closed,Morning,Senior Citizen
94,06 January 2020,04 January 2020,08:12:00,Mumbai,272,Sexual Assault,42,F,Firearm,Violent Crime,3,No,,Open,Morning,Adult
95,06 January 2020,04 January 2020,22:16:00,Vasai,413,Public Intoxication,10,M,Firearm,Other Crime,11,No,,Open,Evening,Child
96,06 January 2020,04 January 2020,14:10:00,Hyderabad,355,Drug Offense,51,F,Blunt Object,Other Crime,7,No,,Open,Afternoon,Senior Citizen
97,06 January 2020,05 January 2020,15:36:00,Nagpur,523,Identity Theft,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00,Closed,Afternoon,Adult
98,06 January 2020,05 January 2020,02:56:00,Kolkata,486,Sexual Assault,71,M,Blunt Object,Violent Crime,6,No,,Open,Night,Senior Citizen
99,06 January 2020,05 January 2020,14:38:00,Hyderabad,292,Identity Theft,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00,Closed,Afternoon,Senior Citizen
100,06 January 2020,05 January 2020,06:41:00,Hyderabad,455,Drug Offense,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00,Closed,Morning,Teenager
101,06 January 2020,05 January 2020,14:02:00,Ahmedabad,515,Public Intoxication,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00,Closed,Afternoon,Adult
102,05 January 2020,05 January 2020,22:34:00,Mumbai,566,Extortion,69,F,Explosives,Other Crime,18,No,,Open,Evening,Senior Citizen
103,07 January 2020,05 January 2020,17:43:00,Kanpur,419,Assault,34,F,Other,Violent Crime,6,No,,Open,Evening,Adult
104,07 January 2020,05 January 2020,14:13:00,Mumbai,250,Vehicle - Stolen,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00,Closed,Afternoon,Adult
105,06 January 2020,05 January 2020,19:30:00,Lucknow,597,Fraud,44,F,Blunt Object,Other Crime,16,No,,Open,Evening,Adult
106,06 January 2020,05 January 2020,10:05:00,Hyderabad,583,Vehicle - Stolen,69,F,None,Violent Crime,12,Yes,22-02-2020 00:00,Closed,Morning,Senior Citizen
107,05 January 2020,05 January 2020,17:21:00,Lucknow,342,Domestic Violence,12,F,Blunt Object,Violent Crime,1,No,,Open,Evening,Child
108,07 January 2020,05 January 2020,09:35:00,Bangalore,417,Arson,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00,Closed,Morning,Adult
109,07 January 2020,05 January 2020,00:07:00,Chennai,169,Public Intoxication,55,F,Blunt Object,Other Crime,8,No,,Open,Night,Senior Citizen
110,05 January 2020,05 January 2020,23:32:00,Delhi,464,Arson,15,F,Other,Fire Accident,9,No,,Open,Evening,Teenager
111,07 January 2020,05 January 2020,23:24:00,Visakhapatnam,500,Illegal Possession,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00,Closed,Evening,Senior Citizen
112,08 January 2020,05 January 2020,07:02:00,Delhi,183,Counterfeiting,37,F,None,Other Crime,6,No,,Open,Morning,Adult
113,07 January 2020,05 January 2020,14:55:00,Bangalore,270,Homicide,49,F,Knife,Other Crime,7,Yes,08-11-2021 09:00,Closed,Afternoon,Adult
114,06 January 2020,05 January 2020,06:42:00,Surat,259,Extortion,30,M,Poison,Other Crime,5,No,,Open,Morning,Adult
115,07 January 2020,05 January 2020,08:02:00,Pune,184,Firearm Offense,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020 13:00,Closed,Morning,Adult
116,05 January 2020,05 January 2020,06:26:00,Mumbai,353,Burglary,64,F,Knife,Other Crime,10,No,,Open,Morning,Senior Citizen
117,07 January 2020,05 January 2020,10:15:00,Lucknow,235,Vandalism,43,M,Poison,Other Crime,14,Yes,13-03-2020 04:00,Closed,Morning,Adult
118,06 January 2020,05 January 2020,02:16:00,Delhi,287,Drug Offense,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00,Closed,Night,Adult
119,07 January 2020,05 January 2020,23:48:00,Mumbai,257,Illegal Possession,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00,Closed,Evening,Teenager
120,07 January 2020,05 January 2020,07:04:00,Pune,537,Traffic Violation,70,M,None,Traffic Fatality,3,Yes,27-01-2020 02:00,Closed,Morning,Senior Citizen
121,07 January 2020,06 January 2020,12:16:00,Ahmedabad,277,Vehicle - Stolen,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00,Closed,Afternoon,Senior Citizen
122,08 January 2020,06 January 2020,22:59:00,Delhi,321,Kidnapping,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00,Closed,Evening,Adult
123,06 January 2020,06 January 2020,00:00:00,Bhopal,432,Vandalism,60,F,None,Other Crime,4,No,,Open,Night,Senior Citizen
124,08 January 2020,06 January 2020,06:56:00,Ludhiana,129,Sexual Assault,44,F,Blunt Object,Violent Crime,2,No,,Open,Morning,Adult
125,09 January 2020,06 January 2020,19:19:00,Pune,347,Fraud,30,M,Knife,Other Crime,14,No,,Open,Evening,Adult
126,09 January 2020,06 January 2020,05:15:00,Pune,127,Assault,62,F,None,Violent Crime,10,No,,Open,Night,Senior Citizen
127,07 January 2020,06 January 2020,00:44:00,Surat,117,Firearm Offense,42,F,None,Fire Accident,8,No,,Open,Night,Adult
128,07 January 2020,06 January 2020,02:17:00,Ghaziabad,339,Identity Theft,73,F,Knife,Violent Crime,2,Yes,01-04-2020 04:00,Closed,Night,Senior Citizen
129,09 January 2020,06 January 2020,12:39:00,Kanpur,374,Shoplifting,25,M,Explosives,Other Crime,15,No,,Open,Afternoon,Adult
130,08 January 2020,06 January 2020,14:55:00,Ghaziabad,111,Robbery,33,M,Other,Violent Crime,3,Yes,20-05-2020 14:00,Closed,Afternoon,Adult
131,08 January 2020,06 January 2020,19:26:00,Agra,331,Arson,13,F,Poison,Fire Accident,19,No,,Open,Evening,Teenager
132,07 January 2020,06 January 2020,06:55:00,Lucknow,295,Identity Theft,39,F,Knife,Violent Crime,8,No,,Open,Morning,Adult
133,06 January 2020,06 January 2020,19:17:00,Bangalore,309,Homicide,18,M,None,Other Crime,2,No,,Open,Evening,Teenager
134,06 January 2020,06 January 2020,00:56:00,Lucknow,465,Illegal Possession,75,F,Knife,Other Crime,8,No,,Open,Night,Senior Citizen
135,06 January 2020,06 January 2020,07:26:00,Delhi,406,Vandalism,50,F,Other,Other Crime,15,No,,Open,Morning,Adult
136,09 January 2020,06 January 2020,02:16:00,Delhi,278,Fraud,71,F,Other,Other Crime,7,No,,Open,Night,Senior Citizen
137,07 January 2020,06 January 2020,01:01:00,Ahmedabad,569,Public Intoxication,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00,Closed,Night,Adult
138,08 January 2020,06 January 2020,20:11:00,Mumbai,445,Assault,12,M,Blunt Object,Violent Crime,6,No,,Open,Evening,Child
139,08 January 2020,06 January 2020,07:11:00,Kanpur,465,Kidnapping,57,F,Other,Other Crime,2,No,,Open,Morning,Senior Citizen
140,08 January 2020,06 January 2020,01:17:00,Jaipur,404,Cybercrime,47,F,Firearm,Other Crime,16,Yes,06-02-2020 16:00,Closed,Night,Adult
141,08 January 2020,06 January 2020,14:13:00,Delhi,270,Domestic Violence,73,F,Other,Violent Crime,14,No,,Open,Afternoon,Senior Citizen
142,07 January 2020,06 January 2020,06:34:00,Mumbai,113,Firearm Offense,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00,Closed,Morning,Adult
143,07 January 2020,06 January 2020,12:37:00,Mumbai,278,Illegal Possession,45,F,None,Other Crime,2,No,,Open,Afternoon,Adult
144,07 January 2020,06 January 2020,16:49:00,Varanasi,487,Assault,79,F,Firearm,Violent Crime,14,Yes,04-02-2020 06:00,Closed,Evening,Senior Citizen
145,08 January 2020,07 January 2020,03:38:00,Ludhiana,172,Identity Theft,17,M,Firearm,Violent Crime,10,No,,Open,Night,Teenager
146,08 January 2020,07 January 2020,16:44:00,Kolkata,165,Public Intoxication,15,F,Knife,Other Crime,16,No,,Open,Evening,Teenager
147,07 January 2020,07 January 2020,18:49:00,Meerut,514,Cybercrime,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00,Closed,Evening,Adult
148,07 January 2020,07 January 2020,22:27:00,Bangalore,262,Counterfeiting,28,F,Knife,Other Crime,8,No,,Open,Evening,Adult
149,07 January 2020,07 January 2020,01:09:00,Agra,558,Identity Theft,41,F,None,Violent Crime,5,Yes,27-02-2020 06:00,Closed,Night,Adult
150,07 January 2020,07 January 2020,11:19:00,Patna,157,Shoplifting,46,F,Knife,Other Crime,1,Yes,03-04-2020 08:00,Closed,Morning,Adult
151,08 January 2020,07 January 2020,13:59:00,Bhopal,241,Drug Offense,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00,Closed,Afternoon,Adult
152,07 January 2020,07 January 2020,16:17:00,Bangalore,311,Illegal Possession,67,M,None,Other Crime,16,No,,Open,Evening,Senior Citizen
153,08 January 2020,07 January 2020,17:21:00,Delhi,248,Identity Theft,23,F,Knife,Violent Crime,16,No,,Open,Evening,Adult
154,09 January 2020,07 January 2020,19:49:00,Chennai,523,Kidnapping,39,F,Other,Other Crime,11,No,,Open,Evening,Adult
155,10 January 2020,07 January 2020,19:37:00,Bangalore,238,Domestic Violence,48,F,Blunt Object,Violent Crime,5,No,,Open,Evening,Adult
156,10 January 2020,07 January 2020,12:05:00,Pune,109,Domestic Violence,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020 05:00,Closed,Afternoon,Senior Citizen
157,07 January 2020,07 January 2020,13:48:00,Hyderabad,448,Counterfeiting,32,F,Other,Other Crime,8,No,,Open,Afternoon,Adult
158,08 January 2020,07 January 2020,03:32:00,Ahmedabad,588,Homicide,18,F,Firearm,Other Crime,13,No,,Open,Night,Teenager
159,09 January 2020,07 January 2020,06:49:00,Delhi,236,Vehicle - Stolen,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00,Closed,Morning,Adult
160,07 January 2020,07 January 2020,14:26:00,Kolkata,509,Assault,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00,Closed,Afternoon,Adult
161,09 January 2020,07 January 2020,09:21:00,Meerut,321,Counterfeiting,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00,Closed,Morning,Adult
162,07 January 2020,07 January 2020,17:22:00,Surat,420,Cybercrime,17,F,None,Other Crime,12,No,,Open,Evening,Teenager
163,09 January 2020,07 January 2020,09:50:00,Pune,589,Shoplifting,39,F,Knife,Other Crime,15,No,,Open,Morning,Adult
164,08 January 2020,07 January 2020,02:04:00,Pune,492,Arson,66,F,Firearm,Fire Accident,5,No,,Open,Night,Senior Citizen
165,10 January 2020,07 January 2020,06:07:00,Ghaziabad,312,Sexual Assault,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00,Closed,Morning,Child
166,10 January 2020,07 January 2020,00:42:00,Ahmedabad,234,Vandalism,54,M,Firearm,Other Crime,19,Yes,10-03-2020 14:00,Closed,Night,Senior Citizen
167,08 January 2020,07 January 2020,05:25:00,Delhi,470,Vandalism,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00,Closed,Night,Senior Citizen
168,08 January 2020,07 January 2020,02:01:00,Delhi,518,Fraud,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00,Closed,Night,Child
169,08 January 2020,08 January 2020,00:14:00,Lucknow,295,Drug Offense,19,F,Blunt Object,Other Crime,16,No,,Open,Night,Teenager
170,10 January 2020,08 January 2020,05:22:00,Kalyan,342,Traffic Violation,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00,Closed,Night,Adult
171,09 January 2020,08 January 2020,18:43:00,Agra,352,Counterfeiting,24,M,None,Other Crime,14,Yes,11-03-2020 11:00,Closed,Evening,Adult
172,08 January 2020,08 January 2020,01:57:00,Jaipur,305,Traffic Violation,58,M,Poison,Traffic Fatality,4,No,,Open,Night,Senior Citizen
173,11 January 2020,08 January 2020,13:20:00,Hyderabad,245,Sexual Assault,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00,Closed,Afternoon,Senior Citizen
174,09 January 2020,08 January 2020,01:34:00,Indore,438,Drug Offense,40,F,None,Other Crime,7,No,,Open,Night,Adult
175,09 January 2020,08 January 2020,10:27:00,Surat,144,Robbery,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020 00:00,Closed,Morning,Senior Citizen
176,09 January 2020,08 January 2020,22:06:00,Lucknow,292,Burglary,66,F,None,Other Crime,14,Yes,28-06-2020 23:00,Closed,Evening,Senior Citizen
177,08 January 2020,08 January 2020,02:25:00,Chennai,134,Firearm Offense,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00,Closed,Night,Adult
178,09 January 2020,08 January 2020,16:59:00,Mumbai,331,Illegal Possession,54,F,None,Other Crime,11,No,,Open,Evening,Senior Citizen
179,10 January 2020,08 January 2020,07:31:00,Agra,191,Fraud,42,F,Knife,Other Crime,8,No,,Open,Morning,Adult
180,10 January 2020,08 January 2020,02:31:00,Pune,584,Domestic Violence,72,M,Blunt Object,Violent Crime,14,Yes,23-01-2020 01:00,Closed,Night,Senior Citizen
181,10 January 2020,08 January 2020,07:34:00,Bangalore,341,Traffic Violation,23,F,Poison,Traffic Fatality,1,No,,Open,Morning,Adult
182,10 January 2020,08 January 2020,12:16:00,Mumbai,541,Cybercrime,53,F,Poison,Other Crime,9,No,,Open,Afternoon,Senior Citizen
183,10 January 2020,08 January 2020,17:18:00,Ahmedabad,133,Sexual Assault,28,F,Firearm,Violent Crime,12,Yes,09-05-2021 09:00,Closed,Evening,Adult
